"jour_";"Avg_Temperature";"Avg_Humidity";"Avg_WindSpeed";"Avg_PC_KWH"
"2017-01-01";"9,68";"68,52";"0,32";"64071,82"
"2017-01-02";"12,48";"71,46";"0,08";"66247,98"
"2017-01-03";"12,10";"74,98";"0,08";"68240,52"
"2017-01-04";"10,51";"75,46";"0,08";"68465,60"
"2017-01-05";"10,87";"71,04";"0,08";"68501,03"
"2017-01-06";"11,69";"77,26";"0,15";"68333,09"
"2017-01-07";"12,02";"76,22";"0,08";"67851,08"
"2017-01-08";"14,72";"69,11";"0,08";"64591,64"
"2017-01-09";"15,49";"68,33";"0,07";"67060,68"
"2017-01-10";"14,02";"75,68";"0,08";"68693,90"
"2017-01-11";"13,28";"66,89";"0,08";"67082,78"
"2017-01-12";"13,90";"75,76";"0,08";"69420,57"
"2017-01-13";"14,63";"81,34";"0,07";"68043,39"
"2017-01-14";"14,99";"68,54";"0,08";"67339,46"
"2017-01-15";"14,23";"70,70";"0,08";"64024,18"
"2017-01-16";"13,37";"61,19";"0,08";"67814,07"
"2017-01-17";"11,37";"63,79";"0,08";"68867,17"
"2017-01-18";"13,68";"52,68";"0,08";"72609,61"
"2017-01-19";"11,64";"67,79";"0,08";"71286,08"
"2017-01-20";"11,17";"60,58";"0,83";"70052,12"
"2017-01-21";"11,18";"62,97";"0,33";"70322,98"
"2017-01-22";"12,84";"63,60";"0,08";"65532,20"
"2017-01-23";"11,42";"71,93";"0,08";"70286,48"
"2017-01-24";"10,84";"60,19";"0,09";"69230,14"
"2017-01-25";"9,88";"61,52";"0,96";"70020,93"
"2017-01-26";"11,22";"68,72";"0,08";"70822,31"
"2017-01-27";"11,85";"71,71";"0,09";"70212,46"
"2017-01-28";"13,52";"59,90";"2,81";"68166,22"
"2017-01-29";"14,56";"60,07";"4,92";"63603,51"
"2017-01-30";"16,62";"68,66";"4,92";"68034,95"
"2017-01-31";"15,27";"70,53";"4,92";"68535,08"
"2017-02-01";"11,24";"56,08";"4,92";"68013,90"
"2017-02-02";"11,11";"60,56";"4,92";"68968,40"
"2017-02-03";"13,89";"64,12";"2,70";"66439,34"
"2017-02-04";"11,28";"63,99";"0,08";"66107,86"
"2017-02-05";"8,98";"50,15";"0,09";"62099,09"
"2017-02-06";"10,51";"50,35";"0,09";"66150,43"
"2017-02-07";"8,63";"69,45";"0,08";"66409,41"
"2017-02-08";"8,78";"84,14";"3,24";"66235,60"
"2017-02-09";"12,82";"63,52";"4,92";"66555,60"
"2017-02-10";"12,15";"79,82";"4,92";"67218,97"
"2017-02-11";"12,73";"74,36";"2,49";"67167,52"
"2017-02-12";"11,93";"87,93";"0,08";"65010,06"
"2017-02-13";"12,24";"75,60";"0,08";"69262,06"
"2017-02-14";"14,09";"63,47";"0,08";"66871,69"
"2017-02-15";"15,20";"66,55";"0,08";"68431,68"
"2017-02-16";"13,77";"66,70";"0,08";"69066,07"
"2017-02-17";"11,41";"72,36";"0,08";"67910,87"
"2017-02-18";"12,65";"79,07";"0,07";"66821,63"
"2017-02-19";"13,79";"70,28";"0,07";"66202,55"
"2017-02-20";"13,04";"74,32";"0,08";"69795,15"
"2017-02-21";"12,21";"70,08";"0,08";"69004,00"
"2017-02-22";"14,83";"61,02";"0,08";"68351,07"
"2017-02-23";"15,27";"61,08";"0,96";"68799,27"
"2017-02-24";"13,82";"57,85";"0,08";"67166,52"
"2017-02-25";"12,63";"57,35";"0,09";"66041,76"
"2017-02-26";"14,47";"61,85";"0,08";"64303,19"
"2017-02-27";"15,12";"62,04";"0,08";"67520,97"
"2017-02-28";"15,43";"59,35";"0,08";"67114,73"
"2017-03-01";"15,33";"74,49";"0,09";"67175,02"
"2017-03-02";"16,14";"77,28";"1,54";"67553,18"
"2017-03-03";"16,77";"71,12";"4,91";"67492,93"
"2017-03-04";"14,70";"70,44";"4,92";"65889,32"
"2017-03-05";"13,65";"56,93";"3,94";"62851,03"
"2017-03-06";"13,25";"69,77";"0,08";"67810,93"
"2017-03-07";"12,27";"77,14";"0,08";"67839,41"
"2017-03-08";"12,86";"76,93";"0,10";"67867,50"
"2017-03-09";"12,96";"82,20";"0,08";"67985,16"
"2017-03-10";"15,25";"72,05";"0,08";"66871,69"
"2017-03-11";"15,37";"67,48";"3,61";"66758,11"
"2017-03-12";"14,82";"64,73";"0,09";"64115,17"
"2017-03-13";"13,39";"76,01";"0,08";"67552,43"
"2017-03-14";"14,58";"77,22";"0,07";"67655,04"
"2017-03-15";"13,36";"68,13";"0,08";"68888,03"
"2017-03-16";"12,35";"76,99";"0,08";"69511,16"
"2017-03-17";"12,11";"80,95";"0,07";"67135,95"
"2017-03-18";"11,52";"85,21";"0,08";"65946,98"
"2017-03-19";"11,99";"77,24";"0,08";"63042,42"
"2017-03-20";"12,94";"77,48";"0,08";"66837,74"
"2017-03-21";"14,03";"76,39";"0,08";"66343,59"
"2017-03-22";"13,21";"82,01";"0,08";"67237,18"
"2017-03-23";"11,50";"63,65";"0,08";"66894,73"
"2017-03-24";"13,10";"59,85";"0,08";"65778,17"
"2017-03-25";"13,31";"58,41";"0,08";"64416,67"
"2017-03-26";"16,60";"61,67";"0,08";"61457,98"
"2017-03-27";"17,88";"69,75";"0,08";"66476,61"
"2017-03-28";"19,55";"61,36";"1,20";"66269,78"
"2017-03-29";"19,19";"56,75";"4,92";"67519,86"
"2017-03-30";"19,61";"61,24";"4,27";"67680,68"
"2017-03-31";"18,38";"73,21";"0,08";"66530,01"
"2017-04-01";"16,23";"82,61";"0,07";"66124,78"
"2017-04-02";"15,19";"86,62";"0,07";"62162,97"
"2017-04-03";"15,00";"86,49";"0,10";"67683,89"
"2017-04-04";"16,14";"81,71";"0,07";"68270,82"
"2017-04-05";"15,93";"78,70";"0,07";"68338,18"
"2017-04-06";"14,43";"76,09";"0,07";"69168,42"
"2017-04-07";"13,62";"85,96";"1,56";"67775,38"
"2017-04-08";"14,06";"89,59";"0,07";"66853,37"
"2017-04-09";"15,01";"86,06";"0,07";"63597,85"
"2017-04-10";"15,19";"84,57";"0,07";"67861,36"
"2017-04-11";"15,48";"83,03";"0,07";"67756,20"
"2017-04-12";"16,13";"85,38";"0,07";"67992,68"
"2017-04-13";"16,48";"83,05";"0,08";"68661,86"
"2017-04-14";"17,01";"78,54";"0,08";"67721,46"
"2017-04-15";"17,20";"69,42";"0,08";"67588,61"
"2017-04-16";"16,09";"74,60";"0,08";"63443,06"
"2017-04-17";"16,58";"65,90";"0,08";"68740,60"
"2017-04-18";"16,62";"56,66";"0,08";"68988,21"
"2017-04-19";"15,56";"71,48";"0,08";"69266,02"
"2017-04-20";"16,19";"84,59";"0,07";"68946,02"
"2017-04-21";"16,66";"85,68";"0,07";"68182,74"
"2017-04-22";"16,15";"81,94";"0,07";"67920,97"
"2017-04-23";"17,58";"72,18";"0,08";"63161,63"
"2017-04-24";"18,04";"66,97";"0,08";"68001,46"
"2017-04-25";"18,22";"66,11";"0,08";"68587,50"
"2017-04-26";"18,08";"59,08";"0,08";"68753,27"
"2017-04-27";"17,23";"60,93";"0,08";"68701,61"
"2017-04-28";"18,22";"57,49";"0,13";"69387,94"
"2017-04-29";"18,92";"57,01";"0,59";"68462,59"
"2017-04-30";"20,08";"58,83";"2,44";"63805,62"
"2017-05-01";"21,00";"56,03";"0,08";"64415,01"
"2017-05-02";"22,92";"49,80";"0,08";"68659,77"
"2017-05-03";"22,48";"46,99";"0,08";"67615,59"
"2017-05-04";"19,07";"68,70";"0,08";"69799,08"
"2017-05-05";"19,90";"50,68";"3,71";"69278,57"
"2017-05-06";"18,57";"69,95";"1,97";"68713,61"
"2017-05-07";"21,06";"55,72";"0,24";"64313,93"
"2017-05-08";"19,45";"65,49";"0,08";"70122,15"
"2017-05-09";"19,46";"80,58";"3,75";"69982,37"
"2017-05-10";"19,31";"79,36";"4,92";"70757,94"
"2017-05-11";"19,80";"79,56";"3,95";"70673,42"
"2017-05-12";"19,17";"82,65";"0,07";"69640,45"
"2017-05-13";"24,59";"54,28";"0,65";"68735,05"
"2017-05-14";"23,02";"45,37";"1,56";"65120,83"
"2017-05-15";"18,83";"73,26";"3,52";"70501,60"
"2017-05-16";"19,41";"74,02";"4,92";"70919,68"
"2017-05-17";"19,24";"78,00";"4,92";"70807,17"
"2017-05-18";"21,70";"64,30";"4,44";"71320,29"
"2017-05-19";"20,02";"72,01";"0,07";"69330,38"
"2017-05-20";"19,88";"75,16";"0,07";"69534,02"
"2017-05-21";"19,19";"70,03";"0,07";"66205,43"
"2017-05-22";"18,86";"73,57";"0,07";"71360,25"
"2017-05-23";"17,58";"72,71";"2,55";"72159,24"
"2017-05-24";"17,83";"75,65";"4,71";"71677,82"
"2017-05-25";"18,68";"76,89";"4,92";"72102,70"
"2017-05-26";"19,10";"81,29";"4,92";"72810,15"
"2017-05-27";"20,08";"81,55";"4,06";"73023,80"
"2017-05-28";"22,29";"66,42";"0,08";"70032,79"
"2017-05-29";"23,62";"59,14";"1,58";"73528,13"
"2017-05-30";"21,62";"75,08";"4,92";"73267,45"
"2017-05-31";"21,37";"75,85";"4,21";"73417,66"
"2017-06-01";"21,28";"77,35";"0,88";"74236,77"
"2017-06-02";"21,51";"78,25";"0,07";"74201,22"
"2017-06-03";"21,40";"76,33";"0,07";"75291,30"
"2017-06-04";"21,10";"80,13";"0,07";"70172,83"
"2017-06-05";"21,41";"81,93";"0,07";"74634,35"
"2017-06-06";"21,43";"84,48";"0,07";"75493,95"
"2017-06-07";"21,46";"79,71";"0,07";"75545,81"
"2017-06-08";"22,19";"74,14";"0,07";"76069,74"
"2017-06-09";"22,74";"64,27";"0,08";"74660,91"
"2017-06-10";"21,68";"61,32";"0,08";"73512,69"
"2017-06-11";"21,76";"55,62";"0,08";"70841,33"
"2017-06-12";"20,02";"54,78";"0,08";"75768,26"
"2017-06-13";"20,51";"51,24";"0,08";"76315,78"
"2017-06-14";"20,44";"56,06";"0,08";"77042,69"
"2017-06-15";"21,29";"52,44";"0,08";"77297,96"
"2017-06-16";"21,18";"65,56";"0,07";"77618,08"
"2017-06-17";"21,75";"75,35";"0,06";"77782,45"
"2017-06-18";"21,71";"76,95";"0,07";"73941,46"
"2017-06-19";"21,59";"79,02";"0,07";"79317,79"
"2017-06-20";"22,90";"74,16";"0,07";"79403,67"
"2017-06-21";"24,02";"60,77";"1,52";"79841,90"
"2017-06-22";"23,57";"48,51";"4,92";"80036,58"
"2017-06-23";"23,20";"54,39";"4,92";"79582,14"
"2017-06-24";"21,52";"72,99";"4,92";"78743,58"
"2017-06-25";"22,52";"74,67";"4,92";"78316,24"
"2017-06-26";"22,78";"79,10";"4,92";"71989,82"
"2017-06-27";"23,39";"74,61";"4,92";"68513,86"
"2017-06-28";"24,61";"63,65";"4,92";"74464,12"
"2017-06-29";"24,86";"67,61";"3,87";"74815,31"
"2017-06-30";"24,46";"63,92";"4,92";"75769,71"
"2017-07-01";"25,46";"55,71";"4,92";"77491,47"
"2017-07-02";"24,37";"74,00";"4,92";"75511,97"
"2017-07-03";"24,95";"80,13";"4,92";"80717,06"
"2017-07-04";"25,28";"78,75";"4,92";"81768,25"
"2017-07-05";"25,64";"78,43";"4,92";"83402,21"
"2017-07-06";"26,99";"70,26";"4,55";"82834,73"
"2017-07-07";"29,42";"50,14";"2,75";"81587,87"
"2017-07-08";"26,97";"53,81";"4,91";"82702,78"
"2017-07-09";"26,39";"60,11";"4,91";"79788,78"
"2017-07-10";"28,63";"39,57";"4,91";"87178,61"
"2017-07-11";"25,95";"55,58";"4,91";"88723,52"
"2017-07-12";"25,85";"70,05";"4,91";"89624,40"
"2017-07-13";"25,69";"74,67";"4,91";"89230,37"
"2017-07-14";"25,62";"76,67";"4,91";"86701,70"
"2017-07-15";"26,52";"76,02";"4,91";"88922,16"
"2017-07-16";"26,71";"80,48";"4,92";"86349,84"
"2017-07-17";"28,50";"57,78";"4,92";"90766,83"
"2017-07-18";"29,27";"38,76";"4,92";"92093,49"
"2017-07-19";"28,36";"43,08";"4,91";"92898,86"
"2017-07-20";"27,54";"51,80";"2,42";"91773,86"
"2017-07-21";"32,43";"29,36";"1,20";"89255,25"
"2017-07-22";"28,66";"46,04";"4,91";"89831,71"
"2017-07-23";"27,37";"41,41";"4,91";"87503,27"
"2017-07-24";"27,87";"46,03";"4,91";"97027,86"
"2017-07-25";"25,22";"57,53";"4,91";"98049,34"
"2017-07-26";"29,20";"45,29";"4,91";"96405,48"
"2017-07-27";"28,39";"47,91";"4,91";"97015,77"
"2017-07-28";"29,94";"44,02";"4,91";"94791,64"
"2017-07-29";"28,54";"43,05";"4,91";"91493,89"
"2017-07-30";"26,02";"58,86";"4,91";"88216,07"
"2017-07-31";"25,59";"57,47";"4,91";"93721,07"
"2017-08-01";"26,41";"74,78";"4,91";"90370,55"
"2017-08-02";"26,05";"81,62";"4,91";"88941,22"
"2017-08-03";"26,63";"59,77";"4,91";"89842,26"
"2017-08-04";"25,99";"68,43";"4,90";"91373,94"
"2017-08-05";"26,41";"78,15";"4,91";"90651,25"
"2017-08-06";"27,71";"76,18";"4,91";"86764,83"
"2017-08-07";"28,44";"64,46";"4,91";"92992,23"
"2017-08-08";"27,12";"82,84";"4,91";"94046,67"
"2017-08-09";"28,15";"73,22";"4,91";"91810,54"
"2017-08-10";"29,54";"45,44";"4,90";"90592,08"
"2017-08-11";"30,20";"29,77";"4,91";"89222,95"
"2017-08-12";"27,68";"37,11";"4,90";"88444,21"
"2017-08-13";"24,28";"46,63";"4,90";"85362,91"
"2017-08-14";"23,58";"46,35";"4,91";"86208,83"
"2017-08-15";"24,56";"50,58";"4,91";"88574,33"
"2017-08-16";"25,03";"57,84";"4,27";"89351,58"
"2017-08-17";"24,88";"59,14";"0,07";"90255,65"
"2017-08-18";"24,19";"68,77";"0,07";"89262,54"
"2017-08-19";"25,25";"77,94";"3,54";"88162,55"
"2017-08-20";"25,54";"85,21";"4,92";"83684,61"
"2017-08-21";"25,31";"66,89";"4,92";"84333,52"
"2017-08-22";"24,10";"51,62";"4,92";"84979,41"
"2017-08-23";"23,70";"55,40";"4,91";"84943,15"
"2017-08-24";"23,66";"61,47";"4,91";"83551,92"
"2017-08-25";"23,65";"74,48";"4,92";"81878,02"
"2017-08-26";"24,61";"78,67";"4,92";"81222,94"
"2017-08-27";"25,01";"79,46";"4,92";"78237,88"
"2017-08-28";"24,82";"88,11";"4,92";"77677,67"
"2017-08-29";"25,06";"88,55";"4,92";"75166,14"
"2017-08-30";"25,57";"78,81";"4,92";"71144,15"
"2017-08-31";"25,06";"59,89";"4,92";"68898,78"
"2017-09-01";"23,73";"59,56";"4,92";"61623,60"
"2017-09-02";"22,81";"50,54";"4,93";"64747,93"
"2017-09-03";"22,45";"51,22";"3,82";"65739,68"
"2017-09-04";"22,11";"62,77";"0,24";"66774,44"
"2017-09-05";"22,55";"70,54";"0,29";"68442,77"
"2017-09-06";"23,61";"76,33";"0,28";"69162,78"
"2017-09-07";"23,56";"79,87";"0,28";"72069,20"
"2017-09-08";"22,99";"78,29";"0,29";"72164,16"
"2017-09-09";"23,45";"72,72";"0,30";"70097,43"
"2017-09-10";"23,31";"67,62";"0,30";"65235,16"
"2017-09-11";"23,83";"63,21";"0,29";"69464,12"
"2017-09-12";"22,86";"55,99";"0,27";"71358,33"
"2017-09-13";"23,17";"58,71";"0,28";"73062,21"
"2017-09-14";"22,99";"56,48";"0,29";"72746,31"
"2017-09-15";"23,81";"50,17";"0,31";"70362,76"
"2017-09-16";"20,71";"64,33";"2,40";"68167,20"
"2017-09-17";"19,85";"64,71";"4,92";"64017,30"
"2017-09-18";"22,11";"82,35";"4,92";"68162,04"
"2017-09-19";"22,54";"83,75";"4,92";"69283,98"
"2017-09-20";"23,64";"78,26";"4,92";"68860,17"
"2017-09-21";"26,42";"43,55";"4,92";"68388,02"
"2017-09-22";"25,69";"36,75";"4,92";"66813,33"
"2017-09-23";"22,34";"65,44";"4,92";"68284,83"
"2017-09-24";"22,11";"75,27";"4,92";"64595,45"
"2017-09-25";"21,04";"79,23";"4,93";"69598,03"
"2017-09-26";"21,06";"77,07";"4,93";"69519,84"
"2017-09-27";"22,04";"75,51";"4,92";"70781,01"
"2017-09-28";"21,42";"73,96";"4,92";"70439,88"
"2017-09-29";"20,92";"74,46";"4,92";"69199,67"
"2017-09-30";"20,03";"76,92";"4,92";"65835,74"
"2017-10-01";"21,66";"68,65";"4,92";"63586,10"
"2017-10-02";"23,45";"52,78";"4,92";"67785,53"
"2017-10-03";"23,40";"53,64";"4,92";"68713,93"
"2017-10-04";"25,46";"52,75";"4,92";"68731,58"
"2017-10-05";"24,68";"58,56";"4,92";"69493,50"
"2017-10-06";"21,77";"57,22";"4,92";"68702,34"
"2017-10-07";"20,03";"52,95";"4,92";"68469,89"
"2017-10-08";"18,19";"67,95";"3,82";"65387,09"
"2017-10-09";"19,47";"73,71";"0,08";"68488,53"
"2017-10-10";"21,95";"72,59";"0,08";"68377,94"
"2017-10-11";"22,35";"63,48";"0,11";"69093,82"
"2017-10-12";"20,58";"72,61";"0,08";"70049,74"
"2017-10-13";"21,43";"59,34";"0,09";"69016,56"
"2017-10-14";"19,59";"75,58";"0,09";"68741,41"
"2017-10-15";"19,36";"79,05";"0,08";"64790,94"
"2017-10-16";"20,42";"85,28";"0,14";"69186,78"
"2017-10-17";"20,57";"84,23";"0,08";"69263,38"
"2017-10-18";"19,59";"81,73";"0,22";"69411,21"
"2017-10-19";"19,83";"83,57";"2,89";"68926,39"
"2017-10-20";"20,92";"76,32";"4,92";"67213,85"
"2017-10-21";"19,33";"80,72";"4,92";"67150,62"
"2017-10-22";"19,56";"80,68";"4,92";"63533,09"
"2017-10-23";"19,91";"79,67";"4,92";"67649,00"
"2017-10-24";"19,82";"76,22";"4,92";"68317,11"
"2017-10-25";"20,12";"80,41";"2,98";"68129,18"
"2017-10-26";"19,50";"70,00";"0,08";"68004,97"
"2017-10-27";"19,02";"65,49";"3,05";"66537,19"
"2017-10-28";"16,95";"77,70";"4,92";"66116,58"
"2017-10-29";"18,20";"79,04";"4,92";"62040,57"
"2017-10-30";"18,87";"81,79";"3,68";"66251,37"
"2017-10-31";"19,17";"70,86";"0,08";"67223,06"
"2017-11-01";"18,61";"48,49";"0,08";"66577,99"
"2017-11-02";"20,07";"56,88";"0,08";"66021,43"
"2017-11-03";"17,68";"76,08";"0,08";"65424,44"
"2017-11-04";"17,82";"75,28";"0,08";"65428,80"
"2017-11-05";"18,54";"77,91";"0,07";"60675,57"
"2017-11-06";"19,83";"74,32";"0,07";"62288,54"
"2017-11-07";"20,44";"72,18";"0,07";"64588,15"
"2017-11-08";"20,20";"74,97";"0,07";"67286,59"
"2017-11-09";"18,92";"80,47";"0,07";"68324,22"
"2017-11-10";"18,07";"76,89";"0,07";"66362,50"
"2017-11-11";"19,13";"69,55";"0,07";"63190,29"
"2017-11-12";"17,80";"71,78";"0,07";"62422,44"
"2017-11-13";"19,50";"64,84";"0,07";"67914,49"
"2017-11-14";"18,34";"73,57";"0,07";"68076,51"
"2017-11-15";"17,29";"72,31";"0,08";"66992,75"
"2017-11-16";"16,10";"73,14";"0,08";"68185,87"
"2017-11-17";"15,26";"76,16";"0,08";"67452,48"
"2017-11-18";"15,36";"81,35";"3,33";"65126,80"
"2017-11-19";"15,19";"75,86";"3,67";"60333,27"
"2017-11-20";"17,41";"59,23";"0,08";"64652,70"
"2017-11-21";"13,49";"50,96";"1,97";"65031,07"
"2017-11-22";"12,21";"64,80";"4,43";"64669,90"
"2017-11-23";"10,32";"69,80";"4,80";"64415,27"
"2017-11-24";"13,41";"56,93";"4,64";"63853,48"
"2017-11-25";"17,32";"57,76";"1,50";"63708,01"
"2017-11-26";"15,81";"63,25";"3,97";"61038,22"
"2017-11-27";"13,05";"79,36";"0,58";"64878,40"
"2017-11-28";"16,71";"70,99";"4,17";"65853,08"
"2017-11-29";"16,91";"66,29";"3,39";"66926,18"
"2017-11-30";"14,04";"76,02";"0,07";"65452,57"
"2017-12-01";"17,14";"68,54";"0,08";"58574,15"
"2017-12-02";"16,13";"63,79";"0,08";"60104,35"
"2017-12-03";"14,08";"70,36";"1,25";"59192,38"
"2017-12-04";"13,89";"71,67";"2,05";"63970,42"
"2017-12-05";"12,01";"70,06";"0,72";"64623,07"
"2017-12-06";"10,47";"66,34";"0,77";"64784,78"
"2017-12-07";"9,85";"73,57";"0,21";"64821,61"
"2017-12-08";"12,43";"61,94";"0,08";"64533,23"
"2017-12-09";"10,77";"74,61";"0,08";"64703,97"
"2017-12-10";"10,56";"77,76";"0,08";"61136,92"
"2017-12-11";"11,02";"80,71";"0,08";"65963,59"
"2017-12-12";"18,23";"47,38";"0,08";"64338,52"
"2017-12-13";"13,45";"56,13";"0,08";"64306,59"
"2017-12-14";"12,91";"67,63";"0,08";"65028,11"
"2017-12-15";"15,27";"65,95";"0,08";"64163,26"
"2017-12-16";"14,25";"74,94";"0,08";"62336,67"
"2017-12-17";"13,30";"75,94";"0,60";"59797,43"
"2017-12-18";"12,45";"84,36";"0,08";"64484,46"
"2017-12-19";"13,22";"82,36";"0,08";"64950,99"
"2017-12-20";"15,85";"71,81";"0,07";"64986,22"
"2017-12-21";"16,25";"68,78";"0,08";"64373,93"
"2017-12-22";"15,33";"72,56";"0,07";"63785,03"
"2017-12-23";"12,03";"80,91";"0,08";"64041,54"
"2017-12-24";"11,74";"81,01";"0,08";"60180,23"
"2017-12-25";"10,62";"76,29";"0,08";"65725,70"
"2017-12-26";"11,62";"69,07";"0,08";"66166,16"
"2017-12-27";"15,23";"59,45";"0,08";"66522,72"
"2017-12-28";"13,66";"62,84";"0,08";"66019,28"
"2017-12-29";"12,99";"49,08";"0,08";"64991,72"
"2017-12-30";"11,69";"51,36";"0,08";"63917,78"
